kw,ts,particles
1,2022-01-03 00:00:00,4.30
2,2022-01-10 00:00:00,3.60
3,2022-01-17 00:00:00,null
4,2022-01-24 00:00:00,null
5,2022-01-31 00:00:00,3.60
6,2022-02-07 00:00:00,3.40
7,2022-02-14 00:00:00,3.10
8,2022-02-21 00:00:00,null
9,2022-02-28 00:00:00,null
10,2022-03-07 00:00:00,null
11,2022-03-14 00:00:00,null
12,2022-03-21 00:00:00,null
13,2022-03-28 00:00:00,null
14,2022-04-04 00:00:00,null
15,2022-04-11 00:00:00,null
16,2022-04-18 00:00:00,null
17,2022-04-25 00:00:00,null
18,2022-05-02 00:00:00,null
19,2022-05-09 00:00:00,null
20,2022-05-16 00:00:00,null
21,2022-05-23 00:00:00,null
22,2022-05-30 00:00:00,null
23,2022-06-06 00:00:00,null
24,2022-06-13 00:00:00,null
25,2022-06-20 00:00:00,null
26,2022-06-27 00:00:00,null
27,2022-07-04 00:00:00,null
28,2022-07-11 00:00:00,null
29,2022-07-18 00:00:00,null
30,2022-07-25 00:00:00,null
31,2022-08-01 00:00:00,null
32,2022-08-08 00:00:00,null
33,2022-08-15 00:00:00,null
34,2022-08-22 00:00:00,null
35,2022-08-29 00:00:00,null
36,2022-09-05 00:00:00,null
37,2022-09-12 00:00:00,null
38,2022-09-19 00:00:00,null
39,2022-09-26 00:00:00,null
40,2022-10-03 00:00:00,null
41,2022-10-10 00:00:00,null
42,2022-10-17 00:00:00,null
43,2022-10-24 00:00:00,null
44,2022-10-31 00:00:00,null
45,2022-11-07 00:00:00,null
46,2022-11-14 00:00:00,null
47,2022-11-21 00:00:00,null
48,2022-11-28 00:00:00,null
49,2022-12-05 00:00:00,null
50,2022-12-12 00:00:00,null
51,2022-12-19 00:00:00,null
52,2022-12-26 00:00:00,null
53,2023-01-02 00:00:00,null
